,date-time,liquidityRate_avg,variableBorrowRate_avg,utilizationRate_avg,stableBorrowRate_avg
0,2023-02-13 14:00:00,0.0,0.0,0.0,0.05
1,2023-02-13 15:00:00,0.4559999999998954,0.5067006557898528,0.6666666666666666,0.05000000000000001
2,2023-02-13 16:00:00,0.6839999999998431,0.7600488680936909,1.0,0.11333333333333334
3,2023-02-13 17:00:00,0.5129999999998823,0.5700191974437895,0.7587372625,0.6203883983245001
4,2023-02-13 18:00:00,0.00058580254285524,0.00077804697618216,0.10849503083333334,0.05155359329800022
5,2023-02-13 19:00:00,0.00702963051426288,0.00933656371418592,0.91750082,0.05155359329800022
6,2023-02-13 20:00:00,0.00702963051426288,0.00933656371418592,0.91750082,0.05155359329800022
7,2023-02-13 21:00:00,0.00060076958151456,0.00125379109341648,0.17321380583333335,0.05155359383553678
8,2023-02-13 22:00:00,1.632767853744e-05,0.00051899358243744,0.10555135,0.05155359388440373
9,2023-02-13 23:00:00,1.632767853744e-05,0.00051899358243744,0.10555135,0.05155359388440373
10,2023-02-14 00:00:00,1.632767853744e-05,0.00051899358243744,0.10555135,0.05155359388440373
11,2023-02-14 01:00:00,1.632767853744e-05,0.00051899358243744,0.10555135,0.05155359388440373
12,2023-02-14 02:00:00,1.632767853744e-05,0.00051899358243744,0.10555135,0.05155359388440373
13,2023-02-14 03:00:00,0.00521949146937768,0.03844838579820156,0.13358493083333334,0.05488114532702143
14,2023-02-14 04:00:00,0.0035973026510256,0.013342132875178799,0.2995737491666667,0.06324280314326795
15,2023-02-14 05:00:00,0.0039243301647552,0.0145550540456496,0.29972079,0.06324280314326795
16,2023-02-14 06:00:00,0.0036752430115962,0.01362797421428232,0.29968113,0.06329988098856724
17,2023-02-14 07:00:00,0.0035922139605431996,0.013318947603826561,0.29966791,0.06331890693700033
18,2023-02-14 08:00:00,0.0035922139605431996,0.013318947603826561,0.29966791,0.06331890693700033
19,2023-02-14 09:00:00,0.0035922139605431996,0.013318947603826561,0.29966791,0.06331890693700033
20,2023-02-14 10:00:00,0.0010729003057610399,0.00392889144328416,0.4667289008333333,0.06379705857605371
21,2023-02-14 11:00:00,0.00040360789110672,0.00134829103363056,0.75968532,0.06478260969364319
22,2023-02-14 12:00:00,0.00040360789110672,0.00134829103363056,0.75968532,0.06478260969364319
23,2023-02-14 13:00:00,0.00040360789110672,0.00134829103363056,0.75968532,0.06478260969364319
24,2023-02-14 14:00:00,0.09096677839141559,0.1334161779904159,0.7640879775,0.0695279392769582
25,2023-02-14 15:00:00,0.02391456084380064,0.03436557881451696,0.77321093,0.08436518540035569
26,2023-02-14 16:00:00,0.02391456084380064,0.03436557881451696,0.77321093,0.08436518540035569
27,2023-02-14 17:00:00,0.02391456084380064,0.03436557881451696,0.77321093,0.08436518540035569
28,2023-02-14 18:00:00,0.02391456084380064,0.03436557881451696,0.77321093,0.08436518540035569
29,2023-02-14 19:00:00,0.02391456084380064,0.03436557881451696,0.77321093,0.08436518540035569
30,2023-02-14 20:00:00,0.019928800703167198,0.0286379823454308,0.6805486233333333,0.08024688827455656
31,2023-02-14 21:00:00,0.0,0.0,0.21723709,0.05965540264556096
32,2023-02-14 22:00:00,0.00257890559269104,0.013186208925986759,0.21871363,0.05967727988283473
33,2023-02-14 23:00:00,0.00031836729125088,0.00161367020812368,0.21920580999999997,0.05974291159465605
34,2023-02-15 00:00:00,0.00031836729125088,0.00161367020812368,0.21920580999999997,0.05974291159465605
35,2023-02-15 01:00:00,0.00031836729125088,0.00161367020812368,0.21920580999999997,0.05974291159465605
36,2023-02-15 02:00:00,0.00104288850260928,0.005281769020930559,0.21506174999999997,0.05975732315765977
37,2023-02-15 03:00:00,0.00104288850260928,0.005281769020930559,0.21506174999999997,0.05975732315765977
38,2023-02-15 04:00:00,0.00104288850260928,0.005281769020930559,0.21506174999999997,0.05975732315765977
39,2023-02-15 05:00:00,0.00104288850260928,0.005281769020930559,0.21506174999999997,0.05975732315765977
40,2023-02-15 06:00:00,0.00104288850260928,0.005281769020930559,0.21506174999999997,0.05975732315765977
41,2023-02-15 07:00:00,0.00104288850260928,0.005281769020930559,0.21506174999999997,0.05975732315765977
42,2023-02-15 08:00:00,0.01171642895655768,0.05839382765520972,0.45907486750000004,0.06514436373560158
43,2023-02-15 09:00:00,0.00110463221101968,0.00264639069764208,0.49582101,0.07061289220380391
44,2023-02-15 10:00:00,0.00110463221101968,0.00264639069764208,0.49582101,0.07061289220380391
45,2023-02-15 11:00:00,0.00335831503055976,0.0066591180399348,0.5697569116666666,0.07085021553957276
46,2023-02-15 12:00:00,0.01462672912826016,0.0267227547513984,0.9394364200000002,0.07203683221841695
47,2023-02-15 13:00:00,0.01462672912826016,0.0267227547513984,0.9394364200000002,0.07203683221841695
48,2023-02-15 14:00:00,0.01462672912826016,0.0267227547513984,0.9394364200000002,0.07203683221841695
49,2023-02-15 15:00:00,0.01988438423934888,0.03794810313880656,0.78170587,0.07203688055248683
50,2023-02-15 16:00:00,0.0251420393504376,0.04917345152621472,0.62397532,0.07203692888655672
51,2023-02-15 17:00:00,0.0251420393504376,0.04917345152621472,0.62397532,0.07203692888655672
52,2023-02-15 18:00:00,0.0251420393504376,0.04917345152621472,0.62397532,0.07203692888655672
53,2023-02-15 19:00:00,0.0285115919423112,0.03983231682897912,0.8158137866666667,0.08530942322622674
54,2023-02-15 20:00:00,0.02918550246068592,0.037964089889532,0.8541814799999999,0.08796392209416075
55,2023-02-15 21:00:00,0.1813371633819216,0.20449611663218245,0.7963735316666667,0.26428378115385703
